city,city_ascii,country,lat,lng
Tokyo,Tokyo,Japan,35.6897,139.6922
Jakarta,Jakarta,Indonesia,-6.2146,106.8451
Delhi,Delhi,India,28.66,77.23
Mumbai,Mumbai,India,18.9667,72.8333
Manila,Manila,Philippines,14.6,120.9833
Shanghai,Shanghai,China,31.1667,121.4667
São Paulo,Sao Paulo,Brazil,-23.5504,-46.6339
Seoul,Seoul,"Korea, South",37.56,126.99
Mexico City,Mexico City,Mexico,19.4333,-99.1333
Guangzhou,Guangzhou,China,23.1288,113.259
Beijing,Beijing,China,39.905,116.3914
Cairo,Cairo,Egypt,30.0561,31.2394
New York,New York,United States,40.6943,-73.9249
Kolkāta,Kolkata,India,22.5411,88.3378
Moscow,Moscow,Russia,55.7558,37.6178
Bangkok,Bangkok,Thailand,13.75,100.5167
Buenos Aires,Buenos Aires,Argentina,-34.5997,-58.3819
Shenzhen,Shenzhen,China,22.535,114.054
Dhaka,Dhaka,Bangladesh,23.7289,90.3944
Lagos,Lagos,Nigeria,6.45,3.4
Istanbul,Istanbul,Turkey,41.01,28.9603
Ōsaka,Osaka,Japan,34.75,135.4601
Karachi,Karachi,Pakistan,24.86,67.01
Bangalore,Bangalore,India,12.9699,77.598
Tehran,Tehran,Iran,35.7,51.4167
Kinshasa,Kinshasa,Congo (Kinshasa),-4.3233,15.3081
Ho Chi Minh City,Ho Chi Minh City,Vietnam,10.8167,106.6333
Los Angeles,Los Angeles,United States,34.1139,-118.4068
Rio de Janeiro,Rio de Janeiro,Brazil,-22.9083,-43.1964
Nanyang,Nanyang,China,32.9987,112.5292
Baoding,Baoding,China,38.8671,115.4845
Chennai,Chennai,India,13.0825,80.275
Chengdu,Chengdu,China,30.66,104.0633
Lahore,Lahore,Pakistan,31.5497,74.3436
Paris,Paris,France,48.8566,2.3522
London,London,United Kingdom,51.5072,-0.1275
Linyi,Linyi,China,35.0606,118.3425
Tianjin,Tianjin,China,39.1467,117.2056
Shijiazhuang,Shijiazhuang,China,38.0422,114.5086
Zhoukou,Zhoukou,China,33.625,114.6418
Lima,Lima,Peru,-12.05,-77.0333
Hyderābād,Hyderabad,India,17.3667,78.4667
Handan,Handan,China,36.6116,114.4894
Bogotá,Bogota,Colombia,4.6126,-74.0705
Weifang,Weifang,China,36.7167,119.1
Nagoya,Nagoya,Japan,35.1167,136.9333
Wuhan,Wuhan,China,30.5872,114.2881
